! ................ store .................    6.1.0010 CORE ............ 25
# ................ number-sign ...........    6.1.0030 CORE ............ 25
#> ............... number-sign-greater ...    6.1.0040 CORE ............ 25
#S ............... number-sign-s .........    6.1.0050 CORE ............ 25
' ................ tick ..................    6.1.0070 CORE ............ 25
( ................ paren .................    6.1.0080 CORE ............ 26
* ................ star ..................    6.1.0090 CORE ............ 26
*/ ............... star-slash ............    6.1.0100 CORE ............ 26
*/MOD ............ star-slash-mod ........    6.1.0110 CORE ............ 26
+ ................ plus ..................    6.1.0120 CORE ............ 26
+! ............... plus-store ............    6.1.0130 CORE ............ 27
+LOOP ............ plus-loop .............    6.1.0140 CORE ............ 27
, ................ comma .................    6.1.0150 CORE ............ 27
- ................ minus .................    6.1.0160 CORE ............ 27
. ................ dot ...................    6.1.0180 CORE ............ 27
." ............... dot-quote .............    6.1.0190 CORE ............ 28
/ ................ slash .................    6.1.0230 CORE ............ 28
/MOD ............. slash-mod .............    6.1.0240 CORE ............ 28
0< ............... zero-less .............    6.1.0250 CORE ............ 28
0= ............... zero-equals ...........    6.1.0270 CORE ............ 28
1+ ............... one-plus ..............    6.1.0290 CORE ............ 28
1- ............... one-minus .............    6.1.0300 CORE ............ 29
2! ............... two-store .............    6.1.0310 CORE ............ 29
2* ............... two-star ..............    6.1.0320 CORE ............ 29
2/ ............... two-slash .............    6.1.0330 CORE ............ 29
2@ ............... two-fetch .............    6.1.0350 CORE ............ 29
2DROP ............ two-drop ..............    6.1.0370 CORE ............ 29
2DUP ............. two-dupe ..............    6.1.0380 CORE ............ 29
2OVER ............ two-over ..............    6.1.0400 CORE ............ 29
2SWAP ............ two-swap ..............    6.1.0430 CORE ............ 30
: ................ colon .................    6.1.0450 CORE ............ 30
; ................ semicolon .............    6.1.0460 CORE ............ 30
< ................ less-than .............    6.1.0480 CORE ............ 30
<# ............... less-number-sign ......    6.1.0490 CORE ............ 31
= ................ equals ................    6.1.0530 CORE ............ 31
> ................ greater-than ..........    6.1.0540 CORE ............ 31
>BODY ............ to-body ...............    6.1.0550 CORE ............ 31
>IN .............. to-in .................    6.1.0560 CORE ............ 31
>NUMBER .......... to-number .............    6.1.0570 CORE ............ 31
>R ............... to-r ..................    6.1.0580 CORE ............ 32
?DUP ............. question-dupe .........    6.1.0630 CORE ............ 32
@ ................ fetch .................    6.1.0650 CORE ............ 32
ABORT ............ .......................    6.1.0670 CORE ............ 32
ABORT" ........... abort-quote ...........    6.1.0680 CORE ............ 32
ABS .............. abs ...................    6.1.0690 CORE ............ 32
ACCEPT ........... .......................    6.1.0695 CORE ............ 33
ALIGN ............ .......................    6.1.0705 CORE ............ 33
ALIGNED .......... .......................    6.1.0706 CORE ............ 33
ALLOT ............ .......................    6.1.0710 CORE ............ 33
AND .............. .......................    6.1.0720 CORE ............ 33
BASE ............. .......................    6.1.0750 CORE ............ 34
BEGIN ............ .......................    6.1.0760 CORE ............ 34
BL ............... b-l ...................    6.1.0770 CORE ............ 34
C! ............... c-store ...............    6.1.0850 CORE ............ 34
C, ............... c-comma ...............    6.1.0860 CORE ............ 34
C@ ............... c-fetch ...............    6.1.0870 CORE ............ 34
CELL+ ............ cell-plus .............    6.1.0880 CORE ............ 35
CELLS ............ .......................    6.1.0890 CORE ............ 35
CHAR ............. char ..................    6.1.0895 CORE ............ 35
CHAR+ ............ char-plus .............    6.1.0897 CORE ............ 35
CHARS ............ chars .................    6.1.0898 CORE ............ 35
CONSTANT ......... .......................    6.1.0950 CORE ............ 35
COUNT ............ .......................    6.1.0980 CORE ............ 36
CR ............... c-r ...................    6.1.0990 CORE ............ 36
CREATE ........... .......................    6.1.1000 CORE ............ 36
DECIMAL .......... .......................    6.1.1170 CORE ............ 36
DEPTH ............ .......................    6.1.1200 CORE ............ 36
DO ............... .......................    6.1.1240 CORE ............ 36
DOES> ............ does ..................    6.1.1250 CORE ............ 37
DROP ............. .......................    6.1.1260 CORE ............ 37
DUP .............. dupe ..................    6.1.1290 CORE ............ 37
ELSE ............. .......................    6.1.1310 CORE ............ 37
EMIT ............. .......................    6.1.1320 CORE ............ 38
ENVIRONMENT? ..... environment-query .....    6.1.1345 CORE ............ 38
EVALUATE ......... .......................    6.1.1360 CORE ............ 38
EXECUTE .......... .......................    6.1.1370 CORE ............ 38
EXIT ............. .......................    6.1.1380 CORE ............ 38
FILL ............. .......................    6.1.1540 CORE ............ 39
FIND ............. .......................    6.1.1550 CORE ............ 39
FM/MOD ........... f-m-slash-mod .........    6.1.1561 CORE ............ 39
HERE ............. .......................    6.1.1650 CORE ............ 39
HOLD ............. .......................    6.1.1670 CORE ............ 39
I ................ .......................    6.1.1680 CORE ............ 39
IF ............... .......................    6.1.1700 CORE ............ 40
IMMEDIATE ........ .......................    6.1.1710 CORE ............ 40
INVERT ........... .......................    6.1.1720 CORE ............ 40
J ................ .......................    6.1.1730 CORE ............ 40
KEY .............. .......................    6.1.1750 CORE ............ 40
LEAVE ............ .......................    6.1.1760 CORE ............ 41
LITERAL .......... .......................    6.1.1780 CORE ............ 41
LOOP ............. .......................    6.1.1800 CORE ............ 41
LSHIFT ........... l-shift ...............    6.1.1805 CORE ............ 41
M* ............... m-star ................    6.1.1810 CORE ............ 41
MAX .............. .......................    6.1.1870 CORE ............ 42
MIN .............. .......................    6.1.1880 CORE ............ 42
MOD .............. .......................    6.1.1890 CORE ............ 42
MOVE ............. .......................    6.1.1900 CORE ............ 42
NEGATE ........... .......................    6.1.1910 CORE ............ 42
OR ............... .......................    6.1.1980 CORE ............ 42
OVER ............. .......................    6.1.1990 CORE ............ 42
POSTPONE ......... .......................    6.1.2033 CORE ............ 43
QUIT ............. .......................    6.1.2050 CORE ............ 43
R> ............... r-from ................    6.1.2060 CORE ............ 43
R@ ............... r-fetch ...............    6.1.2070 CORE ............ 43
RECURSE .......... .......................    6.1.2120 CORE ............ 43
REPEAT ........... .......................    6.1.2140 CORE ............ 44
ROT .............. rote ..................    6.1.2160 CORE ............ 44
RSHIFT ........... r-shift ...............    6.1.2162 CORE ............ 44
S" ............... s-quote ...............    6.1.2165 CORE ............ 44
S>D .............. s-to-d ................    6.1.2170 CORE ............ 44
SIGN ............. .......................    6.1.2210 CORE ............ 45
SM/REM ........... s-m-slash-rem .........    6.1.2214 CORE ............ 45
SOURCE ........... .......................    6.1.2216 CORE ............ 45
SPACE ............ .......................    6.1.2220 CORE ............ 45
SPACES ........... .......................    6.1.2230 CORE ............ 45
STATE ............ .......................    6.1.2250 CORE ............ 45
SWAP ............. .......................    6.1.2260 CORE ............ 45
THEN ............. .......................    6.1.2270 CORE ............ 46
TYPE ............. .......................    6.1.2310 CORE ............ 46
U. ............... u-dot .................    6.1.2320 CORE ............ 46
U< ............... u-less-than ...........    6.1.2340 CORE ............ 46
UM* .............. u-m-star ..............    6.1.2360 CORE ............ 46
UM/MOD ........... u-m-slash-mod .........    6.1.2370 CORE ............ 46
UNLOOP ........... .......................    6.1.2380 CORE ............ 47
UNTIL ............ .......................    6.1.2390 CORE ............ 47
VARIABLE ......... .......................    6.1.2410 CORE ............ 47
WHILE ............ .......................    6.1.2430 CORE ............ 47
WORD ............. .......................    6.1.2450 CORE ............ 48
XOR .............. x-or ..................    6.1.2490 CORE ............ 48
[ ................ left-bracket ..........    6.1.2500 CORE ............ 48
['] .............. bracket-tick ..........    6.1.2510 CORE ............ 48
[CHAR] ........... bracket-char ..........    6.1.2520 CORE ............ 49
] ................ right-bracket .........    6.1.2540 CORE ............ 49
#TIB ............. number-t-i-b ..........    6.2.0060 CORE EXT ........ 49
.( ............... dot-paren .............    6.2.0200 CORE EXT ........ 49
.R ............... dot-r .................    6.2.0210 CORE EXT ........ 49
0<> .............. zero-not-equals .......    6.2.0260 CORE EXT ........ 49
0> ............... zero-greater ..........    6.2.0280 CORE EXT ........ 50
2>R .............. two-to-r ..............    6.2.0340 CORE EXT ........ 50
2R> .............. two-r-from ............    6.2.0410 CORE EXT ........ 50
2R@ .............. two-r-fetch ...........    6.2.0415 CORE EXT ........ 50
:NONAME .......... colon-no-name .........    6.2.0455 CORE EXT ........ 51
<> ............... not-equals ............    6.2.0500 CORE EXT ........ 50
?DO .............. question-do ...........    6.2.0620 CORE EXT ........ 51
AGAIN ............ .......................    6.2.0700 CORE EXT ........ 51
C" ............... c-quote ...............    6.2.0855 CORE EXT ........ 52
CASE ............. .......................    6.2.0873 CORE EXT ........ 52
COMPILE, ......... compile-comma .........    6.2.0945 CORE EXT ........ 52
CONVERT .......... .......................    6.2.0970 CORE EXT ........ 52
ENDCASE .......... end-case ..............    6.2.1342 CORE EXT ........ 53
